2025-12-05 08:00:03.322 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 8 ms, SQL: INSERT INTO fund_nav (fund_code, fund_name, nav_date, unit_nav, daily_return, create_time, update_time) VALUES ('014198', '华夏智胜先锋股票C', 2025-11-05, 1.5363, 0.55, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-06, 1.5589, 1.47, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-07, 1.5560, -0.19, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-10, 1.5579, 0.12, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-11, 1.5521, -0.37, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-12, 1.5504, -0.11, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-13, 1.5673, 1.09, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-14, 1.5538, -0.86, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-17, 1.5470, -0.44, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-18, 1.5334, -0.88, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-19, 1.5268, -0.43, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-20, 1.5209, -0.39, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-21, 1.4698, -3.36, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C'...
2025-12-05 08:00:03.323 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 保存基金数据成功: fundCode=014198, count=43
2025-12-05 08:00:03.323 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金数据更新完成: 014198 - 华夏智胜先锋股票C, 更新记录数: 43
2025-12-05 08:00:03.323 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 014198 - 华夏智胜先锋股票C
2025-12-05 08:00:03.323 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 014198
2025-12-05 08:00:03.330 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 4 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '014198' ORDER BY nav_date DESC LIMIT 5
2025-12-05 08:00:03.332 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金监控完成: 014198 - 华夏智胜先锋股票C
2025-12-05 08:00:03.332 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始更新基金数据: 021526 - 南华丰汇混合C
2025-12-05 08:00:03.332 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始增量更新基金数据: fundCode=021526, startDate=2025-11-05, endDate=2025-12-05
2025-12-05 08:00:03.332 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始爬取基金数据: fundCode=021526, startDate=2025-11-05, endDate=2025-12-05
2025-12-05 08:00:03.695 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 成功爬取基金数据: fundCode=021526, count=22
2025-12-05 08:00:03.709 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 6 ms, SQL: INSERT INTO fund_nav (fund_code, fund_name, nav_date, unit_nav, daily_return, create_time, update_time) VALUES ('021526', '南华丰汇混合C', 2025-11-05, 1.8825, 0.48, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-06, 1.8919, 0.50, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-07, 1.8933, 0.07, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-10, 1.9023, 0.48, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-11, 1.9048, 0.13, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-12, 1.8964, -0.44, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-13, 1.9126, 0.85, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-14, 1.8988, -0.72, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-17, 1.8904, -0.44, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-18, 1.8736, -0.89, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-19, 1.8595, -0.75, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-20, 1.8444, -0.81, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-21, 1.7837, -3.29, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-24, 1.8098, 1.46, NO...
2025-12-05 08:00:03.709 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 保存基金数据成功: fundCode=021526, count=43
2025-12-05 08:00:03.709 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金数据更新完成: 021526 - 南华丰汇混合C, 更新记录数: 43
2025-12-05 08:00:03.709 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 021526 - 南华丰汇混合C
2025-12-05 08:00:03.709 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 021526
2025-12-05 08:00:03.713 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 2 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '021526' ORDER BY nav_date DESC LIMIT 5
2025-12-05 08:00:03.713 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金监控完成: 021526 - 南华丰汇混合C
2025-12-05 08:00:03.713 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始更新基金数据: 018561 - 中信保诚多策略灵活配置混合C
2025-12-05 08:00:03.713 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始增量更新基金数据: fundCode=018561, startDate=2025-11-05, endDate=2025-12-05
2025-12-05 08:00:03.713 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始爬取基金数据: fundCode=018561, startDate=2025-11-05, endDate=2025-12-05
2025-12-05 08:00:04.008 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 成功爬取基金数据: fundCode=018561, count=22
2025-12-05 08:00:04.032 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 15 ms, SQL: INSERT INTO fund_nav (fund_code, fund_name, nav_date, unit_nav, daily_return, create_time, update_time) VALUES ('018561', '中信保诚多策略灵活配置混合C', 2025-11-05, 2.2269, 0.72, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-06, 2.2327, 0.26, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-07, 2.2340, 0.06, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-10, 2.2396, 0.25, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-11, 2.2493, 0.43, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-12, 2.2449, -0.20, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-13, 2.2595, 0.65, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-14, 2.2744, 0.66, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-17, 2.2795, 0.22, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-18, 2.2697, -0.43, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-19, 2.2295, -1.80, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-20, 2.2175, -0.54, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025...
2025-12-05 08:00:04.032 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 保存基金数据成功: fundCode=018561, count=43
2025-12-05 08:00:04.032 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金数据更新完成: 018561 - 中信保诚多策略灵活配置混合C, 更新记录数: 43
2025-12-05 08:00:04.032 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 018561 - 中信保诚多策略灵活配置混合C
2025-12-05 08:00:04.032 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 018561
2025-12-05 08:00:04.035 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 2 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '018561' ORDER BY nav_date DESC LIMIT 5
2025-12-05 08:00:04.035 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金监控完成: 018561 - 中信保诚多策略灵活配置混合C
2025-12-05 08:00:04.035 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始更新基金数据: 002834 - 华夏新锦绣灵活配置混合C
2025-12-05 08:00:04.035 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始增量更新基金数据: fundCode=002834, startDate=2025-11-05, endDate=2025-12-05
2025-12-05 08:00:04.035 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始爬取基金数据: fundCode=002834, startDate=2025-11-05, endDate=2025-12-05
2025-12-05 08:00:04.308 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 成功爬取基金数据: fundCode=002834, count=22
